City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Ilulissat,GL,24.82,broken clouds,69.2167,-51.1,Best Western Plus Hotel Ilulissat
173,Seoul,KR,27.79,clear sky,37.5683,126.9778,뉴국제호텔
174,Kobe,JP,62.37,broken clouds,34.6913,135.183,ひょうご共済会館
175,Capelinha,BR,62.6,light rain,-17.6914,-42.5158,Catuaí Palace Hotel
176,Itarema,BR,76.12,overcast clouds,-2.9248,-39.9167,Pousada Oásis
177,Port Elizabeth,ZA,69.31,clear sky,-33.918,25.5701,Waterford Hotel
178,Klaksvik,FO,45.52,overcast clouds,62.2266,-6.589,Hotel Klaksvik
180,Saint-Pierre,RE,80.91,clear sky,-21.3393,55.4781,Tropic Hotel
181,Westport,US,37.2,few clouds,41.1415,-73.3579,Norwalk Inn and Conference Center
183,Pinawa,CA,19.74,light snow,50.1489,-95.8811,Pinawa Motor Inn
184,Sharjah,AE,75.18,clear sky,25.3573,55.4033,shakeel bhai room
185,Ahipara,NZ,63.18,scattered clouds,-35.1667,173.1667,YHA Ahipara
187,Eureka,US,43.41,overcast clouds,40.8021,-124.1637,"Eureka Inn, Trademark Collection by Wyndham"
188,Tigre,AR,80.74,clear sky,-34.426,-58.5796,Posada de 1860
191,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Vahiny Hotel
192,Bethel,US,34.63,clear sky,41.3712,-73.414,Hampton Inn Danbury
193,Tual,ID,80.58,moderate rain,-5.6667,132.75,Suita
194,Great Yarmouth,GB,42.03,broken clouds,52.6083,1.7305,Classic Lodge
195,Cockburn Town,TC,81.21,light rain,21.4612,-71.1419,The Salt Raker Inn
197,Fort Dodge,US,21.2,clear sky,42.4975,-94.168,Days Inn by Wyndham Fort Dodge
199,Zhezkazgan,KZ,13.98,light snow,47.8043,67.7144,KENGIR
201,Saint George,US,39.79,clear sky,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
203,San Carlos De Bariloche,AR,46.15,scattered clouds,-41.1456,-71.3082,Kronos
206,Ust-Kulom,RU,14.11,overcast clouds,61.6864,53.6902,Барс
208,Lagoa,PT,61.99,overcast clouds,39.05,-27.9833,Casa da Madrinha
209,Herzberg,DE,39.33,broken clouds,51.6869,13.2202,Schloß Grochwitz
211,Luga,RU,22.78,overcast clouds,58.7372,29.8453,Луга
213,Kurashiki,JP,61.0,light rain,34.5833,133.7667,Hostel & Bar Cuore Kurashiki
214,Marsh Harbour,BS,77.14,broken clouds,26.5412,-77.0636,Lofty Fig Villas
215,Beyneu,KZ,23.79,clear sky,45.3167,55.2,Johan yu
217,Safaga,EG,68.92,clear sky,26.7292,33.9365,Dolphin Hotel
218,Singaraja,ID,86.88,broken clouds,-8.112,115.0882,Hotel Sentral
219,Waverly,US,53.53,overcast clouds,42.7392,-84.6208,Crowne Plaza Lansing West
220,Nemuro,JP,35.2,light snow,43.3236,145.575,イーストハーバーホテル
222,Porto Seguro,BR,75.72,clear sky,-16.4497,-39.0647,Terra Mater Hotel
223,Porto Velho,BR,78.85,clear sky,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
224,Saint-Denis,FR,44.38,mist,48.9167,2.3333,Hôtel de France
225,Basco,PH,80.96,overcast clouds,20.4487,121.9702,Tawsen Hotel
227,Bubaque,GW,80.04,overcast clouds,11.2833,-15.8333,Chez Julio
228,Jiayuguan,CN,10.92,overcast clouds,39.8167,98.3,嘉峪关宾馆
231,Doembang Nangbuat,TH,85.01,overcast clouds,14.8333,100.1,Tharnrarin Villa
233,Camana,PE,66.87,broken clouds,-16.6228,-72.7111,Caja Arequipa
235,Praia Da Vitoria,PT,61.05,broken clouds,38.7333,-27.0667,Salles
236,Murray,US,26.8,clear sky,40.6669,-111.888,"Home2 Suites by Hilton Salt Lake City-Murray, UT"
237,Goderich,CA,48.52,overcast clouds,43.7501,-81.7165,Hotel Bedford
238,Moose Factory,CA,26.6,snow,51.2585,-80.6094,Cree Village Ecolodge
240,Port Shepstone,ZA,67.62,clear sky,-30.7414,30.455,The Spot Backpackers'
243,Moissac,FR,42.48,scattered clouds,44.1024,1.0945,Le Chapon Fin
244,Salalah,OM,73.49,few clouds,17.0151,54.0924,Muscat International Hotel
245,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Prainha
246,Shieli,KZ,35.13,overcast clouds,44.1667,66.75,Мейир
248,Boueni,YT,76.98,clear sky,-12.9025,45.0761,La Case Robinson
249,Rodos,GR,61.79,few clouds,36.4408,28.2225,S. Nikolis' Hotel Apartments and Honeymoon Suites
250,Nouadhibou,MR,67.82,clear sky,20.931,-17.0347,Hotel valencia
251,Bredasdorp,ZA,63.37,clear sky,-34.5322,20.0403,Victoria Hotel
259,Dalen,NL,44.06,overcast clouds,52.6992,6.7556,De Vlijt
260,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Aurora Alice Springs
261,Port-Gentil,GA,75.96,light rain,-0.7193,8.7815,Tara-Mé
